,train_time,timestamp,train_loss,val_loss,train_score,val_score,batch_size,best,dampening,initial_lr,lr,momentum,nesterov,weight_decay
206,3778.244886394342,02:37:43 10-06-2021,6.325950557902708,5.453711740306167,0.8991525423728813,0.8701331967213115,32,False,0.0,0.03,0.022157512114204043,0.9,0.0,0.0001
207,3785.2996514519054,02:44:46 10-06-2021,6.319525047884149,5.4385872121717105,0.8968220338983051,0.8724385245901639,32,False,0.0,0.03,0.022088393335344573,0.9,0.0,0.0001
208,3791.855748784542,02:51:19 10-06-2021,6.341432076793606,5.453685791766057,0.9005296610169492,0.8755122950819673,32,False,0.0,0.03,0.022019080231455015,0.9,0.0,0.0001
209,3798.313729385535,02:57:47 10-06-2021,6.298079573097875,5.442607191742444,0.8997881355932204,0.8767930327868853,32,False,0.0,0.03,0.021949574702789125,0.9,0.0,0.0001
210,3805.2459381898243,03:04:43 10-06-2021,6.306789168664965,5.47667866456704,0.8995762711864407,0.8711577868852459,32,False,0.0,0.03,0.02187987865487608,0.9,0.0,0.0001
211,3812.1909371058146,03:11:39 10-06-2021,6.325932153604798,5.457429815511235,0.8951271186440678,0.8783299180327869,32,False,0.0,0.03,0.021809993998468245,0.9,0.0,0.0001
212,3818.7073272109033,03:18:10 10-06-2021,6.286708932003733,5.434392921260146,0.9016949152542373,0.8773053278688525,32,False,0.0,0.03,0.021739922649488774,0.9,0.0,0.0001
213,3825.2488041241963,03:24:43 10-06-2021,6.267057813224146,5.416498066949063,0.8967161016949152,0.8780737704918032,32,False,0.0,0.03,0.021669666528979094,0.9,0.0,0.0001
214,3831.546055475871,03:31:01 10-06-2021,6.269724543619964,5.425944265772085,0.8981991525423729,0.875,32,False,0.0,0.03,0.02159922756304624,0.9,0.0,0.0001
215,3837.622721858819,03:37:05 10-06-2021,6.258555539987855,5.403993473678339,0.8989406779661017,0.8801229508196722,32,True,0.0,0.03,0.021528607682810046,0.9,0.0,0.0001
216,3843.8652357975643,03:43:20 10-06-2021,6.29446602837514,5.441225575619057,0.8960805084745763,0.8814036885245902,32,True,0.0,0.03,0.0214578088243502,0.9,0.0,0.0001
217,3849.980761965116,03:49:27 10-06-2021,6.289478095103118,5.426680084134712,0.8971398305084746,0.8788422131147541,32,False,0.0,0.03,0.021386832928653173,0.9,0.0,0.0001
218,3855.8253567735355,03:55:18 10-06-2021,6.297651483244815,5.460557824275533,0.9008474576271186,0.8811475409836066,32,False,0.0,0.03,0.021315681941559,0.9,0.0,0.0001
219,3861.63680823644,04:01:06 10-06-2021,6.27657966937049,5.436796626106638,0.9007415254237288,0.8798668032786885,32,False,0.0,0.03,0.02124435781370793,0.9,0.0,0.0001
220,3867.5717187245687,04:07:02 10-06-2021,6.264319545939817,5.411663848845685,0.8935381355932204,0.8816598360655737,32,True,0.0,0.03,0.021172862500486955,0.9,0.0,0.0001
221,3873.4154763658844,04:12:53 10-06-2021,6.244568399655617,5.401663311192246,0.8975635593220339,0.8783299180327869,32,False,0.0,0.03,0.02110119796197621,0.9,0.0,0.0001
222,3879.2249391476316,04:18:42 10-06-2021,6.261177531743454,5.408531794782545,0.8980932203389831,0.8844774590163934,32,True,0.0,0.03,0.021029366162895215,0.9,0.0,0.0001
223,3885.089188702901,04:24:33 10-06-2021,6.253539408667613,5.406468102189361,0.8951271186440678,0.8803790983606558,32,False,0.0,0.03,0.020957369072549026,0.9,0.0,0.0001
224,3890.9379699865976,04:30:24 10-06-2021,6.265790076174978,5.43411280678921,0.9011652542372881,0.8847336065573771,32,True,0.0,0.03,0.020885208664774245,0.9,0.0,0.0001
225,3896.7020675420763,04:36:10 10-06-2021,6.230241309990317,5.385021205808296,0.9002118644067797,0.8819159836065574,32,False,0.0,0.03,0.020812886917884906,0.9,0.0,0.0001
226,3902.2942575216293,04:41:46 10-06-2021,6.251164693347478,5.40752709498171,0.9028601694915255,0.8798668032786885,32,False,0.0,0.03,0.02074040581461823,0.9,0.0,0.0001
227,3907.809851153692,04:47:17 10-06-2021,6.251317205267437,5.38928168328082,0.9009533898305084,0.8839651639344263,32,False,0.0,0.03,0.020667767342080277,0.9,0.0,0.0001
228,3913.33716985782,04:52:48 10-06-2021,6.236004038988534,5.376986702934641,0.900635593220339,0.8816598360655737,32,False,0.0,0.03,0.020594973491691464,0.9,0.0,0.0001
229,3918.809502363205,04:58:17 10-06-2021,6.259640646789033,5.421148108654335,0.8959745762711865,0.8819159836065574,32,False,0.0,0.03,0.020522026259131975,0.9,0.0,0.0001
